PatchID,X,Y,SubpatchNO,K,K StDev,N0,Natal Grounds,Migration Grounds,Genes Initialize,Class Vars,Mortality Out %,Mortality Out StDev,Mortality Back,Mortality Back StDev,Mortality Eggs,Mortality Eggs StDev,Migration Out Prob,Set Migration,Migration Back Prob,Straying Prob,Dispersal Prob,GrowthTemperatureOut,GrowthTemperatureOutStDev,GrowDaysOut,GrowDaysOutStDev,GrowthTemperatureBack,GrowthTemperatureBackStDev,GrowDaysBack,GrowDaysBackStDev,Capture Probability Out,Capture Probability Back,HabitatOut,HabitatBack,Fitness_AA,Fitness_Aa,Fitness_aa,Fitness_BB,Fitness_Bb,Fitness_bb,Fitness_AABB,Fitness_AaBB,Fitness_aaBB,Fitness_AABb,Fitness_AaBb,Fitness_aaBb,Fitness_AAbb,Fitness_Aabb,Fitness_aabb,comp_coef
48,564702.9172677976,4903467.359004173,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,564458.9434206884,4902628.241022556,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,563790.0759318614,4901934.52334185,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,563042.8417509531,4901328.500467743,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.488618421052632,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,562293.070874624,4900740.530225175,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.488618421052632,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,561645.1598088337,4900348.31361823,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.488618421052632,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,558684.4145903791,4905224.522366599,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,558637.0593113187,4904426.96486112,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,558666.5862909184,4903659.091282623,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,559162.515739549,4902909.25584453,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,559914.2426508877,4902597.340467917,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,560543.2315689125,4902000.796842984,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,561015.0517142453,4901279.545273875,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,561032.1696763481,4900389.081851316,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.610086206896552,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,569295.6018920061,4897823.993267342,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,9.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,568434.8582452278,4897948.030253926,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,567591.9069407261,4898185.357070829,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,566811.1036866779,4897738.255554721,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,566076.5957905357,4897593.90641212,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,565238.9228783777,4897863.312841028,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,564392.731931978,4898054.342467397,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,563567.1533562278,4898061.022741571,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,562732.987463398,4897947.149799815,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,562000.6275275887,4897551.266931972,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,11.25086705202312,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,561380.2909601913,4897565.491470465,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,560759.0487293736,4896987.800287671,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,15.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,560253.3201963388,4896335.195065461,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,559691.3693173635,4895914.706166453,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,559145.8118030237,4895250.921389026,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,568507.1552444776,4895729.843487248,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,9.8,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,567615.8502540119,4895687.875982677,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,566804.2202408871,4896157.772069182,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,566500.3170083733,4897005.05482796,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,8.843103448275862,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,567390.1739965802,4907648.898319432,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,566886.091298344,4906903.260733748,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,566419.8191701303,4906143.28051098,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,566172.0237786295,4905313.36301849,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,567319.8880223783,4901480.176601957,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,566608.4827385686,4901015.497134597,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,566112.8727904237,4900361.377431909,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,565491.5366349367,4899832.74593313,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,10.702890173410404,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,556917.7398517854,4895934.412026284,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,557652.2061078113,4895544.043693818,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.109090909090909,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,558464.777955382,4895357.2347141355,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,4.8545454545454545,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,555077.1005639903,4896091.766599538,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,555647.2472081577,4895440.605783973,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,555850.1078627722,4894531.337714626,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,555592.4049844886,4893621.310772801,1,80,10,80,1,1,random,ClassVars.csv,0,0,0,0,0.68,0,0,N,0,0,0.1,0,0,0,0,5.655681818181818,0,365,0,N,N,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
