Allele List,Frequency
LOcll_1_168A1,0.8793
LOcll_1_171A0,0.7885
LOcll_1_171A1,0.2115
LOcll_1_176A0,0.8793
LOcll_1_176A1,0.1207
LOcll_1_176A2,0.5172
LOcll_1_176A3,0.4828
LOcll_1_179A0,0.4138
LOcll_1_179A1,0.5862
LOcll_1_179A2,0.3276
LOcll_1_179A3,0.6724
LOcll_1_179A4,0.6207
LOcll_1_179A5,0.3793
LOcll_1_181A0,0.0517
LOcll_1_181A1,0.9483
LOcll_1_183A0,0.4107
LOcll_1_183A1,0.5893
LOcll_1_183A2,0.3448
LOcll_1_183A3,0.6552
LOcll_1_188A0,0.2414
LOcll_1_188A1,0.7586
LOcll_1_193A0,0.3621
LOcll_1_193A1,0.6379
LOcll_1_193A2,0.3036
LOcll_1_193A3,0.6964
LOcll_1_196A0,0.8793
LOcll_1_196A1,0.1207
LOcll_1_214A0,0.4138
LOcll_1_214A1,0.5862
LOcll_1_216A0,0.9231
LOcll_1_216A1,0.0769
LOcll_1_217A0,0.0517
LOcll_1_217A1,0.9483
LOcll_1_219A0,0.0172
LOcll_1_219A1,0.9828
LOcll_1_221A0,0.069
LOcll_1_221A1,0.931
LOcll_1_224A0,0.6034
LOcll_1_224A1,0.3966
LOcll_1_225A0,0.1552
LOcll_1_225A1,0.8448
LOcll_1_228A0,0.3036
LOcll_1_228A1,0.6964
LOcll_1_230A0,0.7222
LOcll_1_230A1,0.2778
LOcll_1_233A0,0.6379
LOcll_1_233A1,0.3621
LOcll_1_233A2,0.0
LOcll_1_233A3,1.0
LOcll_1_240A0,0.8966
LOcll_1_240A1,0.1034
LOcll_1_245A0,0.3966
LOcll_1_245A1,0.6034
LOcll_1_245A2,0.2241
LOcll_1_245A3,0.7759
LOcll_1_254A0,0.5
LOcll_1_254A1,0.5
LOcll_1_254A2,0.6897
LOcll_1_254A3,0.3103
LOcll_1_254A4,0.8966
LOcll_1_254A5,0.1034
LOcll_1_262A0,0.8448
LOcll_1_262A1,0.1552
LOcll_1_263A0,0.569
LOcll_1_263A1,0.431
LOcll_1_269A0,0.1552
LOcll_1_269A1,0.8448
LOcll_1_275A0,0.7143
LOcll_1_275A1,0.2857
LOcll_1_275A2,0.2241
LOcll_1_275A3,0.7759
LOcll_1_276A0,0.6346
LOcll_1_276A1,0.3654
LOcll_1_280A0,0.8448
LOcll_1_280A1,0.1552
LOcll_1_285A0,0.5345
LOcll_1_285A1,0.4655
LOcll_1_288A0,0.2069
LOcll_1_288A1,0.7931
LOcll_1_293A0,0.6379
LOcll_1_293A1,0.3621
LOcll_1_301A0,0.6724
LOcll_1_301A1,0.3276
LOcll_1_322A0,0.66
LOcll_1_322A1,0.34
LOcll_1_322A2,0.2593
LOcll_1_322A3,0.7407
LOcll_1_325A0,0.8276
LOcll_1_325A1,0.1724
LOcll_1_330A0,0.3103
LOcll_1_330A1,0.6897
LOcll_1_331A0,0.4038
LOcll_1_331A1,0.5962
LOcll_1_346A0,0.7414
LOcll_1_346A1,0.2586
LOcll_1_347A0,0.1379
LOcll_1_347A1,0.8621
LOcll_1_353A0,0.0862
LOcll_1_353A1,0.9138
LOcll_1_353A2,0.25
LOcll_1_353A3,0.75
LOcll_1_353A4,0.5862
LOcll_1_353A5,0.4138
LOcll_1_355A0,0.5
LOcll_1_355A1,0.5
LOcll_1_359A0,0.2321
LOcll_1_359A1,0.7679
LOcll_1_361A0,0.9655
LOcll_1_361A1,0.0345
LOcll_1_366A0,0.1034
LOcll_1_366A1,0.8966
LOcll_1_366A2,0.3276
LOcll_1_366A3,0.6724
LOcll_1_378A0,0.4138
LOcll_1_378A1,0.5862
LOcll_1_382A0,0.2931
LOcll_1_382A1,0.7069
LOcll_1_384A0,0.7241
LOcll_1_384A1,0.2759
LOcll_1_386A0,0.9483
LOcll_1_386A1,0.0517
LOcll_1_391A0,0.8036
LOcll_1_391A1,0.1964
LOcll_1_392A0,0.3276
LOcll_1_392A1,0.6724
LOcll_1_393A0,0.4828
LOcll_1_393A1,0.5172
LOcll_1_393A2,0.0862
LOcll_1_393A3,0.9138
LOcll_1_397A0,0.4655
LOcll_1_397A1,0.5345
LOcll_1_399A0,0.1207
LOcll_1_399A1,0.8793
LOcll_1_402A0,0.1034
LOcll_1_402A1,0.8966
LOcll_1_407A0,0.4483
LOcll_1_407A1,0.5517
LOcll_1_412A0,0.6724
LOcll_1_412A1,0.3276
LOcll_1_414A0,0.8966
LOcll_1_414A1,0.1034
LOcll_1_416A0,0.5862
LOcll_1_416A1,0.4138
LOcll_1_418A0,0.6379
LOcll_1_418A1,0.3621
LOcll_1_421A0,0.7414
LOcll_1_421A1,0.2586
LOcll_1_422A0,0.36
LOcll_1_422A1,0.64
LOcll_1_423A0,0.7241
LOcll_1_423A1,0.2759
LOcll_1_425A0,0.9483
LOcll_1_425A1,0.0517
LOcll_1_426A0,0.4138
LOcll_1_426A1,0.5862
LOcll_1_432A0,0.2759
LOcll_1_432A1,0.7241
LOcll_1_436A0,0.6379
LOcll_1_436A1,0.3621
LOcll_1_437A0,0.3793
LOcll_1_437A1,0.6207
LOcll_1_444A0,0.069
LOcll_1_444A1,0.931
LOcll_1_454A0,0.1552
LOcll_1_454A1,0.8448
LOcll_1_460A0,0.569
LOcll_1_460A1,0.431
LOcll_1_462A0,0.3793
LOcll_1_462A1,0.6207
LOcll_1_467A0,0.4828
LOcll_1_467A1,0.5172
LOcll_1_470A0,0.7931
LOcll_1_470A1,0.2069
LOcll_1_471A0,0.5
LOcll_1_471A1,0.5
LOcll_1_481A0,0.1897
LOcll_1_481A1,0.8103
LOcll_1_491A0,0.5357
LOcll_1_491A1,0.4643
LOcll_1_494A0,0.7586
LOcll_1_494A1,0.2414
LOcll_1_503A0,0.5172
LOcll_1_503A1,0.4828
LOcll_1_505A0,0.2069
LOcll_1_505A1,0.7931
LOcll_1_507A0,0.4483
LOcll_1_507A1,0.5517
LOcll_1_507A2,0.4737
LOcll_1_507A3,0.5263
LOcll_1_518A0,0.24
LOcll_1_518A1,0.76
LOcll_1_518A2,0.4138
LOcll_1_518A3,0.5862
LOcll_1_519A0,0.2241
LOcll_1_519A1,0.7759
